dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss
loop_seattle/D/short,Taichu-TimeSeries-Agent,18.312221825383983,18.312221825383983,2.913945273305119,0.8772840530152215,0.054387486557416445,0.053819117714080746,6.8732184662790345,4.279278189763313,0.07647642451306877,0.05207609925015373,0.042271469874195056
loop_seattle/H/long,Taichu-TimeSeries-Agent,60.04988503630255,60.04988503630255,4.086696719332999,0.8553349420685209,0.11792336363552634,0.09473323840297003,7.124807494923146,7.749186088635538,0.13848833008899786,0.07303474168346707,0.05913820534180189
loop_seattle/H/medium,Taichu-TimeSeries-Agent,67.5516157429732,67.5516157429732,4.342574747689088,0.8888710084779256,0.11363986344997333,0.09933205448982867,7.8062038574059045,8.218978996382289,0.14526951734235447,0.07675451389978807,0.06256375557989276
loop_seattle/H/short,Taichu-TimeSeries-Agent,57.625768468143946,57.625768468143946,3.9713473797155716,0.8066401004873184,0.10721395422211842,0.09142847218044876,7.151403827777491,7.591163841476743,0.13437131955063414,0.07029688713747011,0.05694335506312423
m4_daily/D/short,Taichu-TimeSeries-Agent,356582.41869493044,356582.41869493044,179.84843339769685,3.315204724333137,0.03915569033014823,0.030460983263213122,24.413020272739182,597.1452241246935,0.09224243474479334,0.027781612765902613,0.021972622821561347
m4_hourly/H/short,Taichu-TimeSeries-Agent,1556489.1037234664,1556489.1037234664,222.12206973924813,0.7413761278948648,0.08908075453457595,0.0783336071792885,5.384658447152128,1247.5933246548998,0.17032402659007936,0.03032456535704547,0.022543988050186953
m4_monthly/M/short,Taichu-TimeSeries-Agent,1828637.1398670403,1828637.1398670403,552.9055316420303,0.9157592509418772,0.15843273158364796,0.13071380816686307,7.566435034405762,1352.2711044265645,0.2810483596195696,0.11491275098899172,0.09182184585927516
m4_quarterly/Q/short,Taichu-TimeSeries-Agent,1789106.6010713333,1789106.6010713333,560.1553873484719,1.182106654651301,0.11444513495971785,0.102408789224724,8.99424436485462,1337.574895499812,0.2238864835781389,0.09376014782629216,0.07468976710336148
m4_weekly/W/short,Taichu-TimeSeries-Agent,238781.91965748294,238781.91965748294,246.4575101800765,1.9889436441026553,0.059818607328918943,0.05939605571799954,14.619362222727673,488.6531690856849,0.08902503458354862,0.044900738919201155,0.036012654014706026
m4_yearly/A/short,Taichu-TimeSeries-Agent,3712192.758753916,3712192.758753916,901.8209973157556,3.3458572640289543,0.16489494438393199,0.15230981368287594,29.803002395669964,1926.70515615491,0.30895610273013946,0.14461117716990304,0.11709994750896659
m_dense/D/short,Taichu-TimeSeries-Agent,7447.296222989007,7447.296222989007,41.27804136088757,0.6312272215715233,0.11437682705834902,0.09131013148737842,6.612282020262525,86.29771852713725,0.14939411587520066,0.07145839541784153,0.05973680691383432
m_dense/H/long,Taichu-TimeSeries-Agent,34008.70942923618,34008.70942923618,76.27044952081935,0.6648434587827455,0.25547755393902577,0.18329927087158807,6.9118869490093315,184.41450438953055,0.3192487685191831,0.13203542294316647,0.10867812829306672
m_dense/H/medium,Taichu-TimeSeries-Agent,36806.48092904541,36806.48092904541,77.91522708351455,0.6777621024541992,0.25784901407322547,0.18615037052434338,7.7294916826813695,191.85015227787912,0.33379502727209187,0.13556265158227732,0.11242620773473727
m_dense/H/short,Taichu-TimeSeries-Agent,42050.835343422026,42050.835343422026,84.11661261090369,0.7538172010910861,0.28139321021380115,0.20051305951734585,7.735820895911494,205.06300335121892,0.3637306695198047,0.1492019102553546,0.12258483674866698
restaurant/D/short,Taichu-TimeSeries-Agent,136.75490286894478,136.75490286894478,6.97398567237237,0.670567563906204,0.625681337680369,0.3871561309413056,4.579503092709708,11.694225193185941,0.5381953386379503,0.32095897920502636,0.25115454924791597
saugeen/D/short,Taichu-TimeSeries-Agent,1245.9937654632931,1245.9937654632931,13.010182006112398,2.890762341183989,0.27449576835063366,0.32372355251427964,25.78856209053576,35.29863687826052,1.1433312589313427,0.4214028950544396,0.3394156703269605
saugeen/M/short,Taichu-TimeSeries-Agent,396.67041123090286,396.67041123090286,12.521616604385699,0.7336702255857845,0.3596127270253093,0.35824638956471155,4.288907613278995,19.91658633478395,0.5979556709696083,0.3759364949616433,0.28893794401401074
saugeen/W/short,Taichu-TimeSeries-Agent,946.048525586985,946.048525586985,14.363724016337216,1.1653239927644143,0.3630940057234728,0.37358822172985257,8.190438809229486,30.75790183980346,0.9284528430088772,0.43358095323345996,0.3424697029819579
solar/10T/long,Taichu-TimeSeries-Agent,19.279155327302004,19.279155327302004,1.8082834693981225,0.7898038080174874,3.6148453002919374,1.4428853516986109,4.263155457968337,4.390803494498701,0.9490018347498212,0.3908315032446047,0.30267871663797086
solar/10T/medium,Taichu-TimeSeries-Agent,22.276149823474253,22.276149823474253,1.909990195750053,0.8339571045874525,3.999507677033647,1.4472460782805545,4.950805218136022,4.719761627823407,1.0473338088173438,0.4238343933994824,0.32272426761358786
solar/10T/short,Taichu-TimeSeries-Agent,19.99443144490414,19.99443144490414,1.8450842410131345,0.8100710505078565,4.97023566758216,1.5007893040815627,3.8502215185881132,4.471513328270882,1.3007627429591808,0.5367348059005073,0.407975121583142
solar/D/short,Taichu-TimeSeries-Agent,137890.72080170672,137890.72080170672,257.2367253819162,1.0030503784422498,1.1253750845262367,0.4293493228493646,5.45662966525705,371.33639843369343,0.5364546169345821,0.37161945222265347,0.28363150900014444
solar/H/long,Taichu-TimeSeries-Agent,420.69271265771783,420.69271265771783,8.369584743850355,0.6358843596748289,3.6473980462923525,1.367213413644312,5.1108308604045005,20.51079502744147,0.7111466434631283,0.29018875620404666,0.23439985880934675
solar/H/medium,Taichu-TimeSeries-Agent,492.1833415744246,492.1833415744246,9.013440838710586,0.6908071853497924,3.4275154656090625,1.3803508649713543,4.706196371477695,22.185205466130455,0.7991628814129885,0.3246851764842293,0.25853280857380384
solar/H/short,Taichu-TimeSeries-Agent,561.536532367143,561.536532367143,9.437801628678486,0.7281472670486422,3.7647661841681725,1.3867613651394843,4.30828712886299,23.69676206504051,0.8734705662085346,0.347880520964818,0.2736058222721884
solar/W/short,Taichu-TimeSeries-Agent,1180023.378380938,1180023.378380938,881.3550974179011,0.9566685406018843,0.19131601784329738,0.17433152947057018,5.914761529146397,1086.288809838773,0.22173870464868525,0.179906610347912,0.12850519614848416
sz_taxi/15T/long,Taichu-TimeSeries-Agent,15.301561044741213,15.301561044741213,2.671131156483924,0.5038134062416267,5823936459604.776,0.3959883158512928,3.6250062796435767,3.9117209824757713,0.3620619261220922,0.24723514171228117,0.1955341981660795
sz_taxi/15T/medium,Taichu-TimeSeries-Agent,16.163185773941496,16.163185773941496,2.7355604034914855,0.5332600298522001,9310248700196.805,0.40341111530875345,3.6986526039801677,4.0203464743653,0.3741603450669735,0.25458955616095535,0.20081870303452082
sz_taxi/15T/short,Taichu-TimeSeries-Agent,16.562050839032523,16.562050839032523,2.7167373036266476,0.5419775753202789,1111218504858.6685,0.3933068701941792,3.7709407950027525,4.0696499651729905,0.38052967691566975,0.2540265568932909,0.1994880224335155
sz_taxi/H/short,Taichu-TimeSeries-Agent,7.139864134610376,7.139864134610376,1.8415663781870513,0.5605021477419037,1.1693569921236668,0.2951887517547255,3.8558769615639825,2.672052419884456,0.24891817184787043,0.17155327222758854,0.13493147728542365
temperature_rain/D/short,Taichu-TimeSeries-Agent,181.14405122294127,181.14405122294127,5.6997031267027305,1.3229691096225784,18.682753291325664,1.5058072389230333,18.336509342874315,13.458976603848498,1.5844773728183983,0.6710057459688568,0.5426148476256525
us_births/D/short,Taichu-TimeSeries-Agent,126613.65001810082,126613.65001810082,220.06458163103704,0.3240626556746392,0.021160684862176413,0.020982378940010447,2.6510725719465342,355.8281186445231,0.03335599874428274,0.02062926880682863,0.016321470107286094
us_births/M/short,Taichu-TimeSeries-Agent,28289038.453315903,28289038.453315903,4397.560924419721,0.49625693330479015,0.013566464163347216,0.013674938526428699,3.7251923212952796,5318.744067288433,0.016519982810258942,0.013658794249056043,0.01038918588486364
us_births/W/short,Taichu-TimeSeries-Agent,2015360.897896889,2015360.897896889,1088.6267157589143,0.9899451010209777,0.014766918026029223,0.014770355221128354,5.856732860374715,1419.634071828684,0.019271393323670824,0.01477800092175989,0.011560520588244777
