,dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
64,loop_seattle/H/long,PatchTST-ABR,75.6469894865841,75.6469894865841,5.191341817702958,1.074261599134572,0.1674573950149121,0.1180623608599998,42.97046396580884,8.697527780155928,0.1554364403830032,0.0927762133506759,0.0927762144514618,Transport,1
65,loop_seattle/H/medium,PatchTST-ABR,75.04944752160733,75.04944752160733,5.146079867493873,1.058575110558056,0.1405788268098152,0.1166370214692579,42.34300442157532,8.663108421439,0.1531194728758606,0.0909563863633204,0.0909563831100108,Transport,1
66,loop_seattle/H/short,PatchTST-ABR,66.84667530487675,66.84667530487675,4.946999412131759,1.0036386885433377,0.1525792070398842,0.1120738985744254,40.145547541585394,8.17598161108969,0.1447231915673923,0.0875669219503419,0.0875669222013857,Transport,1
67,m4_daily/D/short,PatchTST-ABR,496636.92255567946,496636.92255567946,180.42702161540183,3.280891061313028,0.0420048291397391,0.0304611694930013,131.2356424280533,704.7247140236246,0.1088604917534212,0.0278709883558863,0.0278709878510009,Econ/Fin,1
68,m4_hourly/H/short,PatchTST-ABR,1286349.049075116,1286349.049075116,260.2875378988023,1.9603430189445965,0.2292670190046375,0.1422097395007737,78.41372077157533,1134.173288821032,0.1548397119455207,0.0355349996235178,0.0355349983428219,Econ/Fin,1
69,m4_monthly/M/short,PatchTST-ABR,1809630.9829189812,1809630.9829189812,555.524970703125,0.9471425703351318,0.1626111689474847,0.130942963068132,37.88570281427872,1345.2252535984378,0.2795839879796692,0.1154571595470745,0.1154571597344244,Econ/Fin,1
70,m4_quarterly/Q/short,PatchTST-ABR,1813367.1475833333,1813367.1475833333,565.1652383422852,1.160509840392989,0.1209148261447747,0.1011323316891988,46.42039362386003,1346.613213800954,0.2253993393688226,0.0945987088579124,0.0945987091771091,Econ/Fin,1
71,m4_weekly/W/short,PatchTST-ABR,271706.5489607885,271706.5489607885,274.7937848189415,2.123358734428677,0.0673038915058313,0.0680550950636617,84.93434936155427,521.2547831538704,0.0949645360142903,0.0500631651129391,0.0500631644967356,Econ/Fin,1
72,m4_yearly/A/short,PatchTST-ABR,3204069.880299469,3204069.880299469,812.007860448224,2.968567217663089,0.1572560766735991,0.1331645269380914,118.74268871048918,1789.991586656057,0.2870334473953169,0.1302092240176175,0.1302092244042262,Econ/Fin,1
73,m_dense/D/short,PatchTST-ABR,11659.766666666666,11659.766666666666,58.79560763888889,0.8247732814595214,0.1409900685077777,0.11930419921875,32.99093126229059,107.98039945595065,0.1869300438516225,0.1017838938325451,0.1017838936417685,Transport,1
